GEONAME,YEAR,VARIABLE,VALUE
Delaware County,2019,GEO_YEAR_TOTAL,4009.0
Delaware County,2020,GEO_YEAR_TOTAL,3174.0
Delaware County,2021,GEO_YEAR_TOTAL,3441.0
Delaware County,2022,GEO_YEAR_TOTAL,3557.0
Delaware County,2023,GEO_YEAR_TOTAL,3485.0
Fairfield County,2019,GEO_YEAR_TOTAL,2819.0
Fairfield County,2020,GEO_YEAR_TOTAL,2354.0
Fairfield County,2021,GEO_YEAR_TOTAL,2818.0
Fairfield County,2022,GEO_YEAR_TOTAL,2658.0
Fairfield County,2023,GEO_YEAR_TOTAL,2118.0
Franklin County,2019,GEO_YEAR_TOTAL,34210.0
Franklin County,2020,GEO_YEAR_TOTAL,21856.0
Franklin County,2021,GEO_YEAR_TOTAL,22769.0
Franklin County,2022,GEO_YEAR_TOTAL,22636.0
Franklin County,2023,GEO_YEAR_TOTAL,23592.0
Knox County,2019,GEO_YEAR_TOTAL,1233.0
Knox County,2020,GEO_YEAR_TOTAL,986.0
Knox County,2021,GEO_YEAR_TOTAL,1115.0
Knox County,2022,GEO_YEAR_TOTAL,1101.0
Knox County,2023,GEO_YEAR_TOTAL,1051.0
Licking County,2019,GEO_YEAR_TOTAL,3658.0
Licking County,2020,GEO_YEAR_TOTAL,3325.0
Licking County,2021,GEO_YEAR_TOTAL,3693.0
Licking County,2022,GEO_YEAR_TOTAL,3461.0
Licking County,2023,GEO_YEAR_TOTAL,3178.0
Madison County,2019,GEO_YEAR_TOTAL,1181.0
Madison County,2020,GEO_YEAR_TOTAL,955.0
Madison County,2021,GEO_YEAR_TOTAL,990.0
Madison County,2022,GEO_YEAR_TOTAL,1015.0
Madison County,2023,GEO_YEAR_TOTAL,1058.0
Marion County,2019,GEO_YEAR_TOTAL,1655.0
Marion County,2020,GEO_YEAR_TOTAL,1485.0
Marion County,2021,GEO_YEAR_TOTAL,1600.0
Marion County,2022,GEO_YEAR_TOTAL,1579.0
Marion County,2023,GEO_YEAR_TOTAL,1512.0
Morrow County,2019,GEO_YEAR_TOTAL,952.0
Morrow County,2020,GEO_YEAR_TOTAL,813.0
Morrow County,2021,GEO_YEAR_TOTAL,853.0
Morrow County,2022,GEO_YEAR_TOTAL,875.0
Morrow County,2023,GEO_YEAR_TOTAL,922.0
Pickaway County,2019,GEO_YEAR_TOTAL,1346.0
Pickaway County,2020,GEO_YEAR_TOTAL,1166.0
Pickaway County,2021,GEO_YEAR_TOTAL,1287.0
Pickaway County,2022,GEO_YEAR_TOTAL,1286.0
Pickaway County,2023,GEO_YEAR_TOTAL,1236.0
10-County Region,2019,GEO_YEAR_TOTAL,52328.0
10-County Region,2020,GEO_YEAR_TOTAL,37224.0
10-County Region,2021,GEO_YEAR_TOTAL,39844.0
10-County Region,2022,GEO_YEAR_TOTAL,39567.0
10-County Region,2023,GEO_YEAR_TOTAL,39447.0
Union County,2019,GEO_YEAR_TOTAL,1265.0
Union County,2020,GEO_YEAR_TOTAL,1110.0
Union County,2021,GEO_YEAR_TOTAL,1278.0
Union County,2022,GEO_YEAR_TOTAL,1399.0
Union County,2023,GEO_YEAR_TOTAL,1295.0
Delaware County,2019,GEO_YEAR_FATAL_RATE,3.2427039161885753
Delaware County,2020,GEO_YEAR_FATAL_RATE,4.725897920604915
Delaware County,2021,GEO_YEAR_FATAL_RATE,2.615518744551003
Delaware County,2022,GEO_YEAR_FATAL_RATE,4.779308405960079
Delaware County,2023,GEO_YEAR_FATAL_RATE,4.304160688665711
Fairfield County,2019,GEO_YEAR_FATAL_RATE,4.611564384533523
Fairfield County,2020,GEO_YEAR_FATAL_RATE,6.796941376380628
Fairfield County,2021,GEO_YEAR_FATAL_RATE,6.0326472675656495
Fairfield County,2022,GEO_YEAR_FATAL_RATE,4.514672686230249
Fairfield County,2023,GEO_YEAR_FATAL_RATE,7.0821529745042495
