YEAR,GEO_NAME,CRASH_TYPE,OUTCOME_TYPE,INCIDENT_COUNT
2019,Crawford,Rear End,ODPS_TOTAL_FATALITIES_NBR,0
2019,Crawford,Angle,ODPS_TOTAL_FATALITIES_NBR,0
2019,Crawford,Animal,ODPS_TOTAL_FATALITIES_NBR,0
2019,Crawford,Backing,ODPS_TOTAL_FATALITIES_NBR,0
2019,Crawford,Fixed Object,ODPS_TOTAL_FATALITIES_NBR,0
2019,Crawford,Head On,ODPS_TOTAL_FATALITIES_NBR,0
2019,Crawford,Left Turn,ODPS_TOTAL_FATALITIES_NBR,0
2019,Crawford,Other Non-Collision,ODPS_TOTAL_FATALITIES_NBR,0
2019,Crawford,Other Object,ODPS_TOTAL_FATALITIES_NBR,0
2019,Crawford,Overturning,ODPS_TOTAL_FATALITIES_NBR,0
2019,Crawford,Parked Vehicle,ODPS_TOTAL_FATALITIES_NBR,0
2019,Crawford,Pedalcycles,ODPS_TOTAL_FATALITIES_NBR,0
2019,Crawford,Pedestrian,ODPS_TOTAL_FATALITIES_NBR,0
2019,Crawford,Right Turn,ODPS_TOTAL_FATALITIES_NBR,0
2019,Crawford,Sideswipe - Meeting,ODPS_TOTAL_FATALITIES_NBR,0
2019,Crawford,Sideswipe - Passing,ODPS_TOTAL_FATALITIES_NBR,0
2019,Crawford,Train,ODPS_TOTAL_FATALITIES_NBR,0
2019,Crawford,Unknown,ODPS_TOTAL_FATALITIES_NBR,0
2019,Crawford,Falling From Or In Vehicle,ODPS_TOTAL_FATALITIES_NBR,0
2019,Crawford,Other Non-Vehicle,ODPS_TOTAL_FATALITIES_NBR,0
2019,Crawford,Motorized,ODPS_TOTAL_FATALITIES_NBR,0
2019,Crawford,Non-motorized,ODPS_TOTAL_FATALITIES_NBR,0
2019,Delaware,Rear End,ODPS_TOTAL_FATALITIES_NBR,1
2019,Delaware,Angle,ODPS_TOTAL_FATALITIES_NBR,2
2019,Delaware,Animal,ODPS_TOTAL_FATALITIES_NBR,0
2019,Delaware,Backing,ODPS_TOTAL_FATALITIES_NBR,0
2019,Delaware,Fixed Object,ODPS_TOTAL_FATALITIES_NBR,4
2019,Delaware,Head On,ODPS_TOTAL_FATALITIES_NBR,0
2019,Delaware,Left Turn,ODPS_TOTAL_FATALITIES_NBR,0
2019,Delaware,Other Non-Collision,ODPS_TOTAL_FATALITIES_NBR,0
2019,Delaware,Other Object,ODPS_TOTAL_FATALITIES_NBR,0
2019,Delaware,Overturning,ODPS_TOTAL_FATALITIES_NBR,0
2019,Delaware,Parked Vehicle,ODPS_TOTAL_FATALITIES_NBR,0
2019,Delaware,Pedalcycles,ODPS_TOTAL_FATALITIES_NBR,3
2019,Delaware,Pedestrian,ODPS_TOTAL_FATALITIES_NBR,1
2019,Delaware,Right Turn,ODPS_TOTAL_FATALITIES_NBR,0
2019,Delaware,Sideswipe - Meeting,ODPS_TOTAL_FATALITIES_NBR,1
2019,Delaware,Sideswipe - Passing,ODPS_TOTAL_FATALITIES_NBR,0
2019,Delaware,Train,ODPS_TOTAL_FATALITIES_NBR,1
2019,Delaware,Unknown,ODPS_TOTAL_FATALITIES_NBR,0
2019,Delaware,Falling From Or In Vehicle,ODPS_TOTAL_FATALITIES_NBR,0
2019,Delaware,Other Non-Vehicle,ODPS_TOTAL_FATALITIES_NBR,0
2019,Delaware,Motorized,ODPS_TOTAL_FATALITIES_NBR,9
2019,Delaware,Non-motorized,ODPS_TOTAL_FATALITIES_NBR,4
2019,Fairfield,Rear End,ODPS_TOTAL_FATALITIES_NBR,1
2019,Fairfield,Angle,ODPS_TOTAL_FATALITIES_NBR,1
2019,Fairfield,Animal,ODPS_TOTAL_FATALITIES_NBR,0
2019,Fairfield,Backing,ODPS_TOTAL_FATALITIES_NBR,0
2019,Fairfield,Fixed Object,ODPS_TOTAL_FATALITIES_NBR,3
2019,Fairfield,Head On,ODPS_TOTAL_FATALITIES_NBR,6
2019,Fairfield,Left Turn,ODPS_TOTAL_FATALITIES_NBR,5
2019,Fairfield,Other Non-Collision,ODPS_TOTAL_FATALITIES_NBR,0
2019,Fairfield,Other Object,ODPS_TOTAL_FATALITIES_NBR,0
2019,Fairfield,Overturning,ODPS_TOTAL_FATALITIES_NBR,0
2019,Fairfield,Parked Vehicle,ODPS_TOTAL_FATALITIES_NBR,0
2019,Fairfield,Pedalcycles,ODPS_TOTAL_FATALITIES_NBR,0
2019,Fairfield,Pedestrian,ODPS_TOTAL_FATALITIES_NBR,0
2019,Fairfield,Right Turn,ODPS_TOTAL_FATALITIES_NBR,0
2019,Fairfield,Sideswipe - Meeting,ODPS_TOTAL_FATALITIES_NBR,0
2019,Fairfield,Sideswipe - Passing,ODPS_TOTAL_FATALITIES_NBR,0
2019,Fairfield,Train,ODPS_TOTAL_FATALITIES_NBR,0
2019,Fairfield,Unknown,ODPS_TOTAL_FATALITIES_NBR,0
2019,Fairfield,Falling From Or In Vehicle,ODPS_TOTAL_FATALITIES_NBR,0
2019,Fairfield,Other Non-Vehicle,ODPS_TOTAL_FATALITIES_NBR,0
2019,Fairfield,Motorized,ODPS_TOTAL_FATALITIES_NBR,16
2019,Fairfield,Non-motorized,ODPS_TOTAL_FATALITIES_NBR,0
2019,Franklin,Rear End,ODPS_TOTAL_FATALITIES_NBR,6
2019,Franklin,Angle,ODPS_TOTAL_FATALITIES_NBR,4
2019,Franklin,Animal,ODPS_TOTAL_FATALITIES_NBR,0
2019,Franklin,Backing,ODPS_TOTAL_FATALITIES_NBR,0
2019,Franklin,Fixed Object,ODPS_TOTAL_FATALITIES_NBR,30
2019,Franklin,Head On,ODPS_TOTAL_FATALITIES_NBR,12
2019,Franklin,Left Turn,ODPS_TOTAL_FATALITIES_NBR,11
2019,Franklin,Other Non-Collision,ODPS_TOTAL_FATALITIES_NBR,3
2019,Franklin,Other Object,ODPS_TOTAL_FATALITIES_NBR,0
2019,Franklin,Overturning,ODPS_TOTAL_FATALITIES_NBR,5
2019,Franklin,Parked Vehicle,ODPS_TOTAL_FATALITIES_NBR,3
2019,Franklin,Pedalcycles,ODPS_TOTAL_FATALITIES_NBR,5
2019,Franklin,Pedestrian,ODPS_TOTAL_FATALITIES_NBR,25
2019,Franklin,Right Turn,ODPS_TOTAL_FATALITIES_NBR,2
2019,Franklin,Sideswipe - Meeting,ODPS_TOTAL_FATALITIES_NBR,0
2019,Franklin,Sideswipe - Passing,ODPS_TOTAL_FATALITIES_NBR,2
2019,Franklin,Train,ODPS_TOTAL_FATALITIES_NBR,0
2019,Franklin,Unknown,ODPS_TOTAL_FATALITIES_NBR,1
2019,Franklin,Falling From Or In Vehicle,ODPS_TOTAL_FATALITIES_NBR,0
2019,Franklin,Other Non-Vehicle,ODPS_TOTAL_FATALITIES_NBR,0
2019,Franklin,Motorized,ODPS_TOTAL_FATALITIES_NBR,79
2019,Franklin,Non-motorized,ODPS_TOTAL_FATALITIES_NBR,30
2019,Hancock,Rear End,ODPS_TOTAL_FATALITIES_NBR,0
2019,Hancock,Angle,ODPS_TOTAL_FATALITIES_NBR,0
2019,Hancock,Animal,ODPS_TOTAL_FATALITIES_NBR,0
2019,Hancock,Backing,ODPS_TOTAL_FATALITIES_NBR,0
2019,Hancock,Fixed Object,ODPS_TOTAL_FATALITIES_NBR,0
2019,Hancock,Head On,ODPS_TOTAL_FATALITIES_NBR,0
2019,Hancock,Left Turn,ODPS_TOTAL_FATALITIES_NBR,0
2019,Hancock,Other Non-Collision,ODPS_TOTAL_FATALITIES_NBR,0
2019,Hancock,Other Object,ODPS_TOTAL_FATALITIES_NBR,0
2019,Hancock,Overturning,ODPS_TOTAL_FATALITIES_NBR,0
2019,Hancock,Parked Vehicle,ODPS_TOTAL_FATALITIES_NBR,0
2019,Hancock,Pedalcycles,ODPS_TOTAL_FATALITIES_NBR,0
2019,Hancock,Pedestrian,ODPS_TOTAL_FATALITIES_NBR,0
2019,Hancock,Right Turn,ODPS_TOTAL_FATALITIES_NBR,0
2019,Hancock,Sideswipe - Meeting,ODPS_TOTAL_FATALITIES_NBR,0
2019,Hancock,Sideswipe - Passing,ODPS_TOTAL_FATALITIES_NBR,0
2019,Hancock,Train,ODPS_TOTAL_FATALITIES_NBR,0
2019,Hancock,Unknown,ODPS_TOTAL_FATALITIES_NBR,0
2019,Hancock,Falling From Or In Vehicle,ODPS_TOTAL_FATALITIES_NBR,0
2019,Hancock,Other Non-Vehicle,ODPS_TOTAL_FATALITIES_NBR,0
2019,Hancock,Motorized,ODPS_TOTAL_FATALITIES_NBR,0
2019,Hancock,Non-motorized,ODPS_TOTAL_FATALITIES_NBR,0
2019,Knox,Rear End,ODPS_TOTAL_FATALITIES_NBR,0
2019,Knox,Angle,ODPS_TOTAL_FATALITIES_NBR,0
2019,Knox,Animal,ODPS_TOTAL_FATALITIES_NBR,0
2019,Knox,Backing,ODPS_TOTAL_FATALITIES_NBR,0
2019,Knox,Fixed Object,ODPS_TOTAL_FATALITIES_NBR,4
2019,Knox,Head On,ODPS_TOTAL_FATALITIES_NBR,2
2019,Knox,Left Turn,ODPS_TOTAL_FATALITIES_NBR,0
2019,Knox,Other Non-Collision,ODPS_TOTAL_FATALITIES_NBR,0
2019,Knox,Other Object,ODPS_TOTAL_FATALITIES_NBR,0
2019,Knox,Overturning,ODPS_TOTAL_FATALITIES_NBR,1
2019,Knox,Parked Vehicle,ODPS_TOTAL_FATALITIES_NBR,0
2019,Knox,Pedalcycles,ODPS_TOTAL_FATALITIES_NBR,0
2019,Knox,Pedestrian,ODPS_TOTAL_FATALITIES_NBR,0
2019,Knox,Right Turn,ODPS_TOTAL_FATALITIES_NBR,0
2019,Knox,Sideswipe - Meeting,ODPS_TOTAL_FATALITIES_NBR,0
2019,Knox,Sideswipe - Passing,ODPS_TOTAL_FATALITIES_NBR,0
2019,Knox,Train,ODPS_TOTAL_FATALITIES_NBR,0
2019,Knox,Unknown,ODPS_TOTAL_FATALITIES_NBR,0
2019,Knox,Falling From Or In Vehicle,ODPS_TOTAL_FATALITIES_NBR,0
2019,Knox,Other Non-Vehicle,ODPS_TOTAL_FATALITIES_NBR,0
2019,Knox,Motorized,ODPS_TOTAL_FATALITIES_NBR,7
2019,Knox,Non-motorized,ODPS_TOTAL_FATALITIES_NBR,0
2019,Licking,Rear End,ODPS_TOTAL_FATALITIES_NBR,4
2019,Licking,Angle,ODPS_TOTAL_FATALITIES_NBR,1
2019,Licking,Animal,ODPS_TOTAL_FATALITIES_NBR,0
2019,Licking,Backing,ODPS_TOTAL_FATALITIES_NBR,0
2019,Licking,Fixed Object,ODPS_TOTAL_FATALITIES_NBR,11
2019,Licking,Head On,ODPS_TOTAL_FATALITIES_NBR,6
2019,Licking,Left Turn,ODPS_TOTAL_FATALITIES_NBR,1
2019,Licking,Other Non-Collision,ODPS_TOTAL_FATALITIES_NBR,0
2019,Licking,Other Object,ODPS_TOTAL_FATALITIES_NBR,0
2019,Licking,Overturning,ODPS_TOTAL_FATALITIES_NBR,2
2019,Licking,Parked Vehicle,ODPS_TOTAL_FATALITIES_NBR,0
2019,Licking,Pedalcycles,ODPS_TOTAL_FATALITIES_NBR,1
2019,Licking,Pedestrian,ODPS_TOTAL_FATALITIES_NBR,0
2019,Licking,Right Turn,ODPS_TOTAL_FATALITIES_NBR,0
2019,Licking,Sideswipe - Meeting,ODPS_TOTAL_FATALITIES_NBR,0
2019,Licking,Sideswipe - Passing,ODPS_TOTAL_FATALITIES_NBR,0
2019,Licking,Train,ODPS_TOTAL_FATALITIES_NBR,0
2019,Licking,Unknown,ODPS_TOTAL_FATALITIES_NBR,0
2019,Licking,Falling From Or In Vehicle,ODPS_TOTAL_FATALITIES_NBR,0
2019,Licking,Other Non-Vehicle,ODPS_TOTAL_FATALITIES_NBR,0
2019,Licking,Motorized,ODPS_TOTAL_FATALITIES_NBR,25
2019,Licking,Non-motorized,ODPS_TOTAL_FATALITIES_NBR,1
2019,Madison,Rear End,ODPS_TOTAL_FATALITIES_NBR,0
2019,Madison,Angle,ODPS_TOTAL_FATALITIES_NBR,1
2019,Madison,Animal,ODPS_TOTAL_FATALITIES_NBR,0
2019,Madison,Backing,ODPS_TOTAL_FATALITIES_NBR,0
2019,Madison,Fixed Object,ODPS_TOTAL_FATALITIES_NBR,3
2019,Madison,Head On,ODPS_TOTAL_FATALITIES_NBR,0
2019,Madison,Left Turn,ODPS_TOTAL_FATALITIES_NBR,0
2019,Madison,Other Non-Collision,ODPS_TOTAL_FATALITIES_NBR,0
2019,Madison,Other Object,ODPS_TOTAL_FATALITIES_NBR,0
2019,Madison,Overturning,ODPS_TOTAL_FATALITIES_NBR,2
2019,Madison,Parked Vehicle,ODPS_TOTAL_FATALITIES_NBR,0
2019,Madison,Pedalcycles,ODPS_TOTAL_FATALITIES_NBR,0
2019,Madison,Pedestrian,ODPS_TOTAL_FATALITIES_NBR,0
2019,Madison,Right Turn,ODPS_TOTAL_FATALITIES_NBR,0
2019,Madison,Sideswipe - Meeting,ODPS_TOTAL_FATALITIES_NBR,0
2019,Madison,Sideswipe - Passing,ODPS_TOTAL_FATALITIES_NBR,0
2019,Madison,Train,ODPS_TOTAL_FATALITIES_NBR,0
2019,Madison,Unknown,ODPS_TOTAL_FATALITIES_NBR,0
2019,Madison,Falling From Or In Vehicle,ODPS_TOTAL_FATALITIES_NBR,0
2019,Madison,Other Non-Vehicle,ODPS_TOTAL_FATALITIES_NBR,0
2019,Madison,Motorized,ODPS_TOTAL_FATALITIES_NBR,6
2019,Madison,Non-motorized,ODPS_TOTAL_FATALITIES_NBR,0
2019,Marion,Rear End,ODPS_TOTAL_FATALITIES_NBR,0
2019,Marion,Angle,ODPS_TOTAL_FATALITIES_NBR,3
2019,Marion,Animal,ODPS_TOTAL_FATALITIES_NBR,0
